age,Prefusion_F,Postfusion_F,N,Ga,Gb
7,374.9,345.4,389.1,6.6,6.1
14.5,421.5,406.0,459.8,9.1,8.7 
24.5,487.2,440.6,516.8,12.9,13.8 
34.5,438.0,368.6,482.7,13.6,17.4 
44.5,465.6,377.0,508.1,13.6,18.1
54.5,516.4,494.3,594.8,16.3,19.6 
64.5,588.4,479.6,695.5,21.9,22.2 
80,590.9,522.6,647.9,20.2,18.9 
7,411.2,351.5,320.8,5.1,5.3 
14.5,484.9,436.7,439.7,8.9,9.6 
24.5,441.1,392.0,460.9,11.3,12.7 
34.5,486.8,355.8,517.4,11.1,18.1 
44.5,500.2,383.5,558.9,15.2,16.7 
54.5,510.6,434.3,539.8,14.6,15.4 
64.5,521.9,430.6,565.8,15.4,16.1 
80,577.0,533.3,697.6,17.0,18.1 
